Title,Rating,Comment
Great earphone at best price,5,"I just love this earphone. I was using this earphones for last 2 years and still it delivering its best. Superb Bass, Balanced Mid and High. This earphone is best for music lovers. Its has a gold plated 3.5mm pin and comes with a decent wire which never tangled. So just go for it."
Best budget headset for everyone,5,"I have purchased this almost 10 to 15 times for me and my friends family.

if u have a right handset this is the best sound and bass headset at this price range it wont even spoil sound quality even at high volume

it works fine for mobile, desktop, pc

i will personally give bass rating to 4.0

it doesnt have mic thats the reason it works fine with all the device

built quality is great coz I always do rough use and the only headset which came more than 2 years is cx 180

sennheiser is really doing great job in all types of headset and this is the cheapest and best in that segment"
Enjoy music with Sennheiser cx 180,3,"I am using CX 180 from last one year it has been Great experience with it. It is light weight so easy to carry. It give me feel while listening to music. Bass is ultimate. Krystal clear sound. u can distinguish between lyrics and tone.

Company service is very fast but it's service center is located to far from my location, it disappointed me. Over quality of this earphones is excellent . I personally recommend this."
,0,
The best earphones under 1K.,4,"I have been using this earphone for 3 months.I think this is one of the best earphones under 1k.It sounds really good.I like its sound signature.I love the clarity of the sound.

Pros:

Light weight and small.

Great sound quality.

Great noise cancellation.

Good length wire.

L-shaped 3.5mm connector.

Bass is really punchy.

Low and mid-tone are also prominent.

Cons:

Absence of mic.

Wire quality is not good.

Get tangled sometimes.

No volume control buttons."
Sennheiser cx 180 Street 2 detailed review,5,I bought this sennheiser earphone 3 months ago.....from amazon ...the sound quality from this earphone is very clear pleasing to your ears has a very good bass and trable ....i use it very roughly ....in the gym but the wire quality is good it won't break orr stitch easily you also get the warrenty from sennheiser if you want to purchase these earphones go get it....without any hesitation totally value for money
Not good earphones in this range,2,"I have used these earphones for 1 year but after that, it's one-side stops working and there are some problem occurs in the wire.

when you press or pull then it works. i bought this from Flipkart. it cost me around 1200 rupees now it cost very less.the sound quality is good but sometimes it is not properly working.

it does not have a noise cancellation feature. these are wired in-ear earphones.

if you needed good earphones then go for skull candy or JBL they are much better than this. overall i am not satisfied by this product."
Standard Product,4,"I bought the Sennheiser CX 180 earphones an year back from Amazon for around 700 rupees. At first I was a bit worried about it not having mic. But once I started using it I really started loving it. It have got very elegant looks and its performance is truly impressive.

I have been using it a bit carelessly but still it shows its quality by lasting for this long amid all that. This is another masterpiece from Sennheiser I have to say.

Ps: Please mention if it was helpful for you."
Worth every single penny,3,I have been using these earphone from past one year and sum up my experience with them I would say the are phenomenal and offer a sound quality which is second to none. They are highly comfortable and come with various earbuds of different sizes to suit every one's need and can be used for hours without causing any discomfort to the user . They have a very clear vocals and a pretty good bass they actually highlight the high and lows much better than other earphones in the price range. The most amazing thing about them is their durability I am a rough user and would break the earphones within a month or two but these have stood up to my use and didn't break that easy I have been to the service center only once in a year which is very surprising for my use also the service is very good its the best I got replacement within 5 mins of getting inside the service center. I would recommend them to anyone who listens to music every day don't go for boats and all go for these either save some money or buy refurbished one believe me after using this you will thank me
Absolutely worth the money!,5,"So basically I got this earphones from amazon for just 732rs! I was super happy to get Sennheiser for such an amount!

I had already done a lot of research about earphones because I wanted long lasting earphones as I was tired of my earphones not working after every 4-5 months.

The skull candy ones are too expensive for a college student and coming to jbl, I have really bad experience with it.

The Sennheiser CX 180 Street | earphones has a built in capability of delivering a powerful bass - driven sound.

Coming to the comfort, it has finger contoured housing design that makes it easy to adjust and the appearance also looks fabulous!

It has a perfect ear-canal phone design which ensures that the ambient noise does not interrupt your listening experience!

On a further note, The Sennheiser CX 180 earphones is equipped with an impedance of 16 ohms, a frequency response in the range of 20Hz - 20, 000Hz and a sound pressure level of 110db.

Adding more, this product comes with a 2 Year Warranty.

This is a treat for people like us to get Sennheiser for such a low price, 2 year warranty and a sound quality to die for!

I would recommend you to surely go ahead with this one! You definitely wouldn't regret your decision of buying Sennheiser CX 180 Street | ."
Fabulous,5,"Hello everyone, I want to tell my personal experience of sennheiser CX 180 street II earphone. Firstly my brother show me this earphone. That time I bought Chinese local earphone which price was Rs. 200. When I read the name that time. Then I thought it is local earphone. But packing was good. When I pop out the earphone then I got a cute earphone with excellent finishing. But there was not any controlling button and mic. But when I listened a song by using it. Then I was shocked because I didn't listened like that sound and bass. Then I saw the MRP. That time MRP was Rs. 899. After that I took him from my brother. And he bought other brand's earphone. Last thing to say best earphone in this budget."
Excellent headphone,4,"I have purchased this product from amazon and using for the past one year.Performance of this headphone is pretty good, enough to meet the value of the product.Sound quality is excellent and reduced noise give clear audio output.The only one drawback which made me disappointed is it have no mic.So we cannot use it while calling."
Best earphones i ever used in my life.,5,"Hii friends today I give u review about my best purchased earphones sennheiser cx 180. Everyone is confused when they buy earphones I m also confused when I think to bought earphones and then I order them and that was my luck that I got best earphones at low price.

Design and look - Look and Design of the earphones is awsm really a lovely look and design with a perfect curves and wire.

Performance - If I tell you about performance than I cant describe in words bcz this earphones are so adorable means the voice and I love bass and the bass level really so awsm trble really everything is completely up to mark.

I bought this earphones for bass bcz I m bass lover but I get everything best in this earphones.

The major problem in this earphones is mic they didnt give us mic with this earphones this is the biggest con for this earphones. So if u want mic than dont buy this.

Value for money - Yes this earphones is value for money in this price segment they give best sound to their customers.

Satisfaction - Yes I m satisfied with them even I bought another one piece for my brother also."
Best in performance and cost,4,It is an affordable and quality product by Sennheiser. I purchased the earphones about an year back and they are still working satisfactorily. The sound quality and bass is really good. The wired earphones can be plugged into a 3. 5 mm jack of either your computer or mobile phone. It is really light weight and easily fits into your pocket for carrying. The best thing about them is that you get a warranty of two years.
Good,4,"Good product no doubt design and look is great performance I would like to give 4 star. little bit of more base will give me more satisfaction I have sennheiser hd 180 on ear headphone base is not good in both of this

but hte most important thing sound clarity best in market if you want to lesson some real music buy this"
A great value for money product,5,"I purchased this item one and a half year ago, working completely fine and placed another order today for my brother. I was thinking to buy something different but the price at which senheiser makes em hard to beat. This product is great value for money. If you manage to keep the chord safe they're gonna be with you till you cut the wires. Noice does not leak and outside noice is cancelled. It's very sturdy and after six months of rough use it is good as it is new. I feel sound clearity and bass completely. Better than the earphone provided by boat company. I assured you that this earphones will your friend for years if you invest some more money and buy small cover or pouch for it."
Sennheiser CX 180 Street earphone,4,"I use many earphones but in my life I naver seen like that. Cristal & clear voice, durable wire. Noise cancellation , good bass I am music lover so I strongly recomanded to buy which earphone come in two years warranty, music lover it's one time investment of earning happiness. Those want mic pls don't buy,"
Balanced and durable.,5,"I am using sennheiser cx 180 street II from almost one year.Design of cx 180 is awesome.It is made of plastic, the earbuds are designed in such a way that anyonone can hold the earbuds with there fingers and thumb.Its weight is very light and it is extremely comfortable to hold.The cable of this earphone is not tangle free, but it is one of the most durable earphones I have ever used.Now comes the Performance, and I am completely amazed by its performance.It has very deep but balanced bass, which is good for listening metal songs.The vocals are also amazing and they are awesome for listening bollywood songs, but these are budets earphones so they don't have any type of soundstaging which are only found in expensive earphones. And the most important part how comfortable they are when listening for a long period of time.They will give you over the head earphones comfort for long listening times.So at this price range it is awesome value for money product from a branded company sennheiser.But there are several fake cx 180 on the offline as well as online markets.Firts time I ordered them from online market I got fake earphones.So I returned them and bought from sennheiser's original showroom."
Best,3,Hey friends I am parth. Sennheiser cx 180 are one of the best earphones under 1000 rupees. Not one of the best they are the best eaphones available just for 700 to 800 rupees. It has got a good amount of base with good sound quality and they are comfortable . I wore them for about 4 hours without feeling anything. I would totaly recomend this to anyone who is looking for a nice pair of earphones in this budget range. They are perfectly balanced for an averageuser who wants to have them for fun
Not buy please,1,"Hello friend today I am going to share my experience on Sennheiser CX 180 Street earphone I was purchused Sennheiser CX 180 Street last 2 moths back .This ear phone feature are mentioned below.? 1.Design and style . This Boat earphone style and design is best in point of views . But when we are listing the 3D song , it can't work properly . I Hear most of 3D song but unfortunately it can't work property2. It's wire was also loosSo , I am not satisfied with this earphoneNot wear by small child ."
Best earphones at a cheap price,5,The earphones are really good and they fit in ears comfortably.Available at a cheaper price.These earphones are used so that no outer voice is able to hear ( basically we can wear it eveb when we are in helicopter you wont heat the sound of helicopter wings ) .You can buy the product without any hesitation.Remember not to use it at very high volume
Drenches you in bass!,4,"I have been using these earphones for the past 5months, to be honest, I purchased this product online just by seeing the customer reviews about the bass of the earphones. I was just shocked and amazed hearing a song for the very first time on this product, the bass truly blew my mind. The built quality is actually not that bad, but the biggest disappointment for me was when I noticed the poor quality of the wires. The wires keep tangling whenever I used it, other than this the earphones are just awesome, I promise whoever tries it for the first time is going to be amazed by listening to these earphones, if tangle-free wires are added to the earphones, this would take this product to next-level! This product is definitely worth the price, I recommend everyone to try it;>"
Love this earphone,5,"This earphone is very very good. the sound quality, bass, treble all are very good

using it for almost 1 month. very good quality cable and it does not tangled and it is also gold plated I have a small ear so small earpiece I use which fits perfectly. eartips are very light in weight. no stress even after hours use.

The only thing that bothers me that it don't have a mike and a button but thats ok in this price range

you should buy this earphone with eyes closed"
