Title,Price,Details,Location,Page
Two Storied House for Sale In Rathgama,"Rs 15,500,000","Bedrooms: 3, Bathrooms: 2","Galle, Houses For Sale",1
House For Sale Gampaha - Minuwangoda Yakahatuwa,"Rs 6,500,000","Bedrooms: 1, Bathrooms: 1","Gampaha, Houses For Sale",1
House For Sale Gampaha - Minuwangoda Yakahatuwa,"Rs 6,500,000","Bedrooms: 1, Bathrooms: 1","Gampaha, Houses For Sale",1
MODERN BRAND NEW HOUSE FOR SALE AT LONDON SQAURE KOLONNAWA,"Rs 45,000,000","Bedrooms: 5, Bathrooms: 3","Colombo, Houses For Sale",1
Main Road Facing 52 P Sale At Pepiliyana-Belantota,"Rs 286,000,000","Bedrooms: 1, Bathrooms: 1","Colombo, Houses For Sale",1
(ARN96) Luxury House Sale in Nugegoda,"Rs 300,000,000","Bedrooms: 5, Bathrooms: 7","Colombo, Houses For Sale",1
(ARN71) House for Sale Wejerama Nugegoda,"Rs 64,000,000","Bedrooms: 5, Bathrooms: 5","Colombo, Houses For Sale",1
(AFA106) Design Super Luxury House for Sale in Heart of Nugegoda,"Rs 200,000,000","Bedrooms: 8, Bathrooms: 6","Colombo, Houses For Sale",1
(AFA110) Luxury 02 Story House with 31P Sale at Nugegoda,"Rs 145,000,000","Bedrooms: 5, Bathrooms: 3","Colombo, Houses For Sale",1
(AFA91) Brand New House For Sale in Thalawathugoda,"Rs 56,000,000","Bedrooms: 4, Bathrooms: 3","Colombo, Houses For Sale",1
(AFA41) Luxury House for Sale in Mount Lavania,"Rs 85,000,000","Bedrooms: 5, Bathrooms: 4","Colombo, Houses For Sale",1
"(AFA994) 02 Story House With 33.14 Sale At Thalahena, Battaramulla","Rs 92,000,000","Bedrooms: 4, Bathrooms: 4","Colombo, Houses For Sale",1
N/A,N/A,N/A,N/A,1
Modern Great Type Luxury Furnished 10 BR House Sale With Pool in Negombo,"Rs 75,000,000","Bedrooms: 10, Bathrooms: 10","Gampaha, Houses For Sale",1
(ARNNI07) Luxury 5-Bedroom Home for Sale - Thalawathugoda,"Rs 140,000,000","Bedrooms: 5, Bathrooms: 5","Colombo, Houses For Sale",1
(ARNNI03) 02 STOREY HOUSE FOR SALE IN NAWALA,"Rs 170,000,000","Bedrooms: 5, Bathrooms: 4","Colombo, Houses For Sale",1
02 Story house With 12 P For Sale at Pagoda road Nugegoda,"Rs 58,000,000","Bedrooms: 5, Bathrooms: 4","Colombo, Houses For Sale",1
(AFA184) Single Story House with 34 P Sale at Mirihana Nugegoda,"Rs 250,000,000","Bedrooms: 5, Bathrooms: 5","Colombo, Houses For Sale",1
(AFA182) 02 Story Luxury House With 10 P for sale in Kotte,"Rs 42,500,000","Bedrooms: 5, Bathrooms: 2","Colombo, Houses For Sale",1
(AFA163) 02 Story House with 15 P Sale at Alhena Road Maharagama,"Rs 57,000,000","Bedrooms: 4, Bathrooms: 3","Colombo, Houses For Sale",1
(AFA169 ) Luxury House for Sale: Borelasgamuwa,"Rs 95,000,000","Bedrooms: 4, Bathrooms: 4","Colombo, Houses For Sale",1
(AFA143) Brand New House Sale At Delkada Nugegoda,"Rs 46,000,000","Bedrooms: 4, Bathrooms: 3","Colombo, Houses For Sale",1
House for Sale in Negombo,"Rs 22,000,000","Bedrooms: 3, Bathrooms: 1","Gampaha, Houses For Sale",1
House for Sale Negombo,"Rs 34,000,000","Bedrooms: 3, Bathrooms: 2","Gampaha, Houses For Sale",1
(AFA319) Modern Stylish Home with Scenic Views Sale in Pannipitiya,"Rs 54,000,000","Bedrooms: 4, Bathrooms: 2","Colombo, Houses For Sale",1
Genuine Perfect Spacious 3 Apartment Type Villa Sale Negombo (Kadirana),"Rs 58,000,000","Bedrooms: 7, Bathrooms: 4","Gampaha, Houses For Sale",1
(AFA315) 02 Story House for Sale Katubedda,"Rs 92,000,000","Bedrooms: 3, Bathrooms: 2","Colombo, Houses For Sale",1
02 Story Luxury House Sale At Malwatha Rd Dehiwala,"Rs 110,000,000","Bedrooms: 6, Bathrooms: 4","Colombo, Houses For Sale",1
(AFA263) Super Luxury 03 Story House For Sale In Ethulkotte,"Rs 135,000,000","Bedrooms: 4, Bathrooms: 3","Colombo, Houses For Sale",1
House for Sale Near Katubedda Campus,"Rs 59,000,000","Bedrooms: 3, Bathrooms: 2","Colombo, Houses For Sale",2
"Riverfront 4 bedroom Villa with 70 Perches Land Hettimulla, Beruwala","Rs 100,000,000","Bedrooms: 4, Bathrooms: 4","Kalutara, Houses For Sale",2
House for Sale Near Katubedda Campus,"Rs 59,000,000","Bedrooms: 3, Bathrooms: 2","Colombo, Houses For Sale",2
Luxury Family Living in Prime Thalawathugoda,"Rs 54,000,000","Bedrooms: 5, Bathrooms: 3","Colombo, Houses For Sale",2
Prime 88 Residencies B/New Gated Community House for Sale in Piliyandala,"Rs 35,000,000","Bedrooms: 3, Bathrooms: 3","Colombo, Houses For Sale",2
Luxury Lakefront Residence for Sale â Attidiya,"Rs 150,000,000","Bedrooms: 4, Bathrooms: 4","Colombo, Houses For Sale",2
(SH821) Super Luxury Two Storey House for Sale in Battaramulla,"Rs 125,000,000","Bedrooms: 4, Bathrooms: 4","Colombo, Houses For Sale",2
5 Bedroom Luxury House For Sale in Piliyandala - EH208,"Rs 33,000,000","Bedrooms: 5, Bathrooms: 4","Colombo, Houses For Sale",2
Brand New Super Luxury House For Sale In Piliyandala Madapatha Road.,"Rs 95,000,000","Bedrooms: 4, Bathrooms: 3","Colombo, Houses For Sale",2
