Title,Price,Details,URL
House for Sale in Gampaha,"Rs 3,900,000","Bedrooms: 3, Bathrooms: 1",https://ikman.lk/en/ad/house-for-sale-in-gampaha-for-sale-gampaha-2217
QUICK SALE:B/New 4/3BR House For Sale Canterbury Golf Resort Piliyandala,"Rs 32,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/quick-saleb-new-4-3br-house-for-sale-canterbury-golf-resort-piliyandala-for-sale-colombo-10
FEATURED,"Rs 41,000,000",+12,https://ikman.lk/en/ad/pdinci-novuu-nv-nivs-vikinniimtt-mhrgm-hndiyee-sitt-vinaaddi-8yi-for-sale-colombo
Hokandara Brand New Architecturally Disignd Two Storey House for Sale,"Rs 69,500,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/hokandara-brand-new-architecturally-disignd-two-storey-house-for-sale-for-sale-colombo
Bokundara Architecture Designed Super Luxury Two Story House For Sale,"Rs 41,500,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/bokundara-architecture-designed-super-luxury-two-story-house-for-sale-for-sale-colombo
Piliyandala Architecture Designed Super Luxury Three Story House,"Rs 37,500,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/piliyandala-architecture-designed-super-luxury-three-story-house-for-sale-colombo
Newly Build Three Story House for Sale Jayaliyagama,"Rs 43,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/newly-build-three-story-house-for-sale-jayaliyagama-for-sale-colombo
Newly Build Single Story House For Sale,"Rs 23,500,000","Bedrooms: 2, Bathrooms: 1",https://ikman.lk/en/ad/newly-build-single-story-house-for-sale-for-sale-colombo-12
Super Luxury Two Story House for Sale Kesbewa,"Rs 55,000,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/super-luxury-two-story-house-for-sale-kesbewa-for-sale-colombo
Brand New Two Story House for Sale Rajagiriya,"Rs 172,000,000","Bedrooms: 5, Bathrooms: 4",https://ikman.lk/en/ad/brand-new-two-story-house-for-sale-rajagiriya-for-sale-colombo
Newly Build Two Story House for Sale Mattegoda,"Rs 51,000,000","Bedrooms: 5, Bathrooms: 4",https://ikman.lk/en/ad/newly-build-two-story-house-for-sale-mattegoda-for-sale-colombo-1
Newly Build Luxury Two Story House For Sale Kesbewa,"Rs 69,500,000","Bedrooms: 5, Bathrooms: 4",https://ikman.lk/en/ad/newly-build-luxury-two-story-house-for-sale-kesbewa-for-sale-colombo
Newly Build Luxury Three Story House For Sale Pelawatta,"Rs 69,500,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/newly-build-luxury-three-story-house-for-sale-pelawatta-for-sale-colombo
"Luxury Residence for Sale – Nugegoda, Colombo","Rs 85,000,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/luxury-residence-for-sale-nugegoda-colombo-for-sale-colombo-3
"Sitting, Dining, 2 Living Area Brand New Story House For Sale Negombo","Rs 47,500,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/sitting-dining-2-living-area-brand-new-story-house-for-sale-negombo-for-sale-gampaha-22
Brand New Single Storey House For Sale in Athurugiriya,"Rs 24,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/brand-new-single-storey-house-for-sale-in-athurugiriya-for-sale-colombo-42
Single Storey House for Sale in Rajagiriya Kalapaluwawa Ds328,"Rs 32,000,000","Bedrooms: 2, Bathrooms: 2",https://ikman.lk/en/ad/single-storey-house-for-sale-in-rajagiriya-kalapaluwawa-ds328-for-sale-colombo-1
"House for Sale in Panadura, Mandawala","Rs 22,500,000","Bedrooms: 4, Bathrooms: 1",https://ikman.lk/en/ad/house-for-sale-in-panadura-mandawala-for-sale-kalutara
Two Storey House with 9P Land for Sale Dehiwala,"Rs 65,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/two-storey-house-with-9p-land-for-sale-dehiwala-for-sale-colombo
Single Storey House for Sale in Rajagiriya Ds1755,"Rs 67,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/single-storey-house-for-sale-in-rajagiriya-ds1755-for-sale-colombo-2
House in Bokundara Thumbowila Piliyandala 220,"Rs 22,000,000","Bedrooms: 3, Bathrooms: 1",https://ikman.lk/en/ad/house-in-bokundara-thumbowila-piliyandala-220-for-sale-colombo
Land for Sale Nawala DS8000,"Rs 55,000,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/land-for-sale-nawala-ds8000-for-sale-colombo-5
Brand-New modern House From Katubedda Moratuwa - 500 m to Galle Rd,"Rs 68,500,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/brand-new-modern-house-from-katubedda-moratuwa-500-m-to-galle-rd-for-sale-colombo
2 Storied House for sale in Kadawatha with 13.5 p,"Rs 42,500,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/2-storied-house-for-sale-in-kadawatha-with-135-p-for-sale-gampaha
Newly House for Sale in Mount Lavenia,"Rs 99,500,000","Bedrooms: 5, Bathrooms: 6",https://ikman.lk/en/ad/newly-house-for-sale-in-mount-lavenia-for-sale-colombo-2
Modern House for Sale in Thalawathugoda,"Rs 56,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/modern-house-for-sale-in-thalawathugoda-for-sale-colombo-917
95M - Luxury House for Sale Thalawathugoda,"Rs 95,000,000","Bedrooms: 4, Bathrooms: 5",https://ikman.lk/en/ad/95m-luxury-house-for-sale-thalawathugoda-for-sale-colombo
Brand New Single Storey Modern House for Sale,"Rs 39,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/brand-new-single-storey-modern-house-for-sale-for-sale-colombo-1
Fully completed House with 17 p for Sale Panadura,"Rs 29,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/fully-completed-house-with-17-p-for-sale-panadura-for-sale-kalutara
අගනා නිවසක් විකිණීමට මිල්ලනිය,"Rs 5,500,000","Bedrooms: 3, Bathrooms: 1",https://ikman.lk/en/ad/agnaa-nivsk-vikinniimtt-millniy-for-sale-kalutara
FEATURED,"Rs 39,500,000",+12,https://ikman.lk/en/ad/brand-new-luxury-house-for-sale-kahathuduwa-residencies-for-sale-colombo
Modern Architect-Designed Single Storey House for Sale – Diyagama,"Rs 23,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/modern-architect-designed-single-storey-house-for-sale-diyagama-for-sale-colombo
Brand New Architecturally Designed Two Storey House for Sale in Kottawa,"Rs 54,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/brand-new-architecturally-designed-two-storey-house-for-sale-in-kottawa-for-sale-colombo
Super Luxury House for Sale with Furniture,"Rs 56,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/super-luxury-house-for-sale-with-furniture-for-sale-colombo-2
Brand New Two Storey House for Sale Kottawa,"Rs 51,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/brand-new-two-storey-house-for-sale-kottawa-for-sale-colombo-12
Luxury House for Sale in Battaramulla [HS102],"Rs 105,000,000","Bedrooms: 7, Bathrooms: 7",https://ikman.lk/en/ad/luxury-house-for-sale-in-battaramulla-hs102-for-sale-colombo-15
"Bulathkohupitiya – 750m to Town, Main Road Facing House for Sale","Rs 14,900,000","Bedrooms: 4, Bathrooms: 1",https://ikman.lk/en/ad/bulathkohupitiya-750m-to-town-main-road-facing-house-for-sale-for-sale-kegalle
Luxuy House for Sale in Mount Lavania,"Rs 135,000,000","Bedrooms: 6, Bathrooms: 4",https://ikman.lk/en/ad/luxuy-house-for-sale-in-mount-lavania-for-sale-colombo-1
අඩක් නිමකර දෙමහල් නිවසක් විකිණීමට,"Rs 9,400,000","Bedrooms: 4, Bathrooms: 2",https://ikman.lk/en/ad/addk-nimkr-demhl-nivsk-vikinniimtt-for-sale-gampaha-1
Luxury House for Sale Thalawathugoda,"Rs 95,000,000","Bedrooms: 4, Bathrooms: 4",https://ikman.lk/en/ad/luxury-house-for-sale-thalawathugoda-for-sale-colombo-459
Angoda පර්චස් 13ක නිවස විකිණීමට,"Rs 16,000,000","Bedrooms: 3, Bathrooms: 1",https://ikman.lk/en/ad/prcs-13k-iddm-smg-nivs-vikinniimtt-aet-for-sale-colombo
single house for sale in nawala Ds24,"Rs 35,000,000","Bedrooms: 2, Bathrooms: 2",https://ikman.lk/en/ad/single-house-for-sale-in-nawala-ds24-for-sale-colombo-2
super elegant luxury house for sale nawala Ds 20175,"Rs 175,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/super-elegant-luxury-house-for-sale-nawala-ds-20175-for-sale-colombo-2
අලුතෙන්ම ඉදිකරන ලද වටිනා තනිමහල් නිවසක් කොට්ටාව අදිවේගී පිවිසුම(09162na),"Rs 29,500,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/alutenm-idikrn-ld-vttinaa-tnimhl-nivsk-kottttaav-adiveegii-pivisum09162na-for-sale-colombo
"Beautiful New House for Sale in Wickramasingha Pura, Battaramulla","Rs 32,000,000","Bedrooms: 3, Bathrooms: 2",https://ikman.lk/en/ad/beautiful-new-house-for-sale-in-wickramasingha-pura-battaramulla-for-sale-colombo-1
Uncommon Architect Design Tow Story House For Sale in Vidyala Junction,"Rs 34,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/uncommon-architect-design-tow-story-house-for-sale-in-vidyala-junction-for-sale-colombo
Very Beautiful three-storey House For Sale in Rajamaha Vihars Rd Nawinna,"Rs 59,500,000","Bedrooms: 6, Bathrooms: 5",https://ikman.lk/en/ad/very-beautiful-three-storey-house-for-sale-in-rajamaha-vihars-rd-nawinna-for-sale-colombo
Exclusive Luxury Two-Story House for Sale – Near Parliament.[HS100],"Rs 100,000,000","Bedrooms: 4, Bathrooms: 3",https://ikman.lk/en/ad/exclusive-luxury-two-story-house-for-sale-near-parliamenths100-for-sale-colombo-40
Pannipitiya Near to Railway Station House for Sale,"Rs 75,000,000","Bedrooms: 5, Bathrooms: 3",https://ikman.lk/en/ad/pannipitiya-near-to-railway-station-house-for-sale-for-sale-colombo-3
