Product Name,Current Price,Description,Product URL,Image URL
MSI Crosshair 16 HX AI D2XWGKG – Ultra 9,845000.0,"| – Intel Core Ultra 9 AI 275HX Processor | 
– 1TB PCIe 4.0 NVMe M.2 SSD | 
– 32GB DDR5 5600Mhz RAM | 
– 16” QHD+ (2560×1600), 240Hz, IPS-Level Display | 
– 8GB NVIDIA GeForce RTX 5070 Laptop GDDR7 Graphics | 
– 24-Zone RGB Gaming Keyboard with Copilot Key | 
– Genuine Windows 11 Home 64Bit Pre-installed | 
– MSI Essential Backpack | 
 |",https://www.laptop.lk/product/msi-crosshair-16-hx-ai-d2xwgkg-ultra-9/,https://www.laptop.lk/wp-content/uploads/2025/06/MSI-Crosshair-16-HX-AI-D2XWGKG-Ultra-9-300x300.webp
Asus Zenbook DUO UX8406 – Ultra 9,779000.0,"| – Intel Core Ultra 9 285H Processor | 
– 1TB M.2 NVMe PCIe 4.0 SSD | 
– 32GB LPDDR5X RAM | 
– 14″, 3K (2880 x 1800) OLED 120Hz Touch Display | 
– Intel Arc Graphics | 
– Backlit Soft Keyboard | 
– Genuine Windows 11 Home 64Bit Pre-installed | 
– Microsoft Office Home 2024 | 
 | 
 |",https://www.laptop.lk/product/asus-zenbook-duo-ux8406-ultra-9-2/,https://www.laptop.lk/wp-content/uploads/2024/10/ASUS-Zenbook-DUO-UX8406CA-300x300.jpg
Lenovo Legion 5 15AKP10 Gaming – Ryzen AI 7,650000.0,"| – AMD Ryzen AI 7 350 Processor | 
– Integrated AMD Ryzen AI, up to 50 TOPS | 
– AI-Powered Gaming PC | 
– 512GB M.2 2242 PCIe 4.0×4 NVMe SSD | 
– 32GB SO-DIMM DDR5-5600 RAM | 
– 15.1″ WQXGA (2560×1600) OLED, 165Hz Display | 
– 8GB NVIDIA GeForce RTX 5070 GDDR7 Graphics | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/lenovo-legion-5-15akp10-gaming-ryzen-ai-7/,https://www.laptop.lk/wp-content/uploads/2025/08/Lenovo-Legion-5-15AKP10-Gaming-Ryzen-AI-7-300x300.jpg
MSI Summit 16 AI Evo 2 in 1 A2HMTG – Ultra 7,621000.0,"| – Intel Core Ultra 7 processor | 
– 1TB Gen4 NVMe SSD | 
– 32GB DDR5 LPDDR5-6400 RAM | 
– 16”, QHD+ (2560×1600), 165Hz Touchscreen Display | 
– Intel Arc Graphics | 
– Single Backlit Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/msi-summit-16-ai-evo-a2hmtg-ultra-7/,https://www.laptop.lk/wp-content/uploads/2025/10/MSI-Summit-16-AI-Evo-A2HMTG-Ultra-7-300x300.jpg
Lenovo Legion 5 15AKP10 Gaming – Ryzen AI 7,615000.0,"| – AMD Ryzen AI 7 350 Processor | 
– Integrated AMD Ryzen AI, up to 50 TOPS | 
– AI-Powered Gaming PC | 
– 512GB M.2 2242 PCIe 4.0×4 NVMe SSD | 
– 32GB SO-DIMM DDR5-5600 RAM | 
– 15.1″ WQXGA (2560×1600) OLED, 165Hz Display | 
– 8GB NVIDIA GeForce RTX  | 5060  | GDDR7 Graphics | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/lenovo-legion-5-15akp10-gaming-ryzen-ai-7-2/,https://www.laptop.lk/wp-content/uploads/2025/08/Lenovo-Legion-5-15AKP10-Gaming-Ryzen-AI-7-1-300x300.jpg
MSI Cyborg 15 B2RWFKG – Core 7,575000.0,"| – Intel Core 7 240H Processor | 
– 1TB NVMe SSD | 
– 16GB DDR5 4800MHZ RAM | 
– 15.6″ Full HD (1920×1080), 144Hz Display | 
– 8GB NVIDIA GeForce RTX 5060 Graphics | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/msi-cyborg-15-b2rwfkg-core-7/,https://www.laptop.lk/wp-content/uploads/2025/07/MSI-Cyborg-15-B2RWFKG-Core-7-300x300.jpg
MSI Katana 15 B14WEK Intel – i7,545000.0,"| – Intel Core i7 14650HX Processor | 
– 1TB PCIe 4.0 NVMe M.2 SSD | 
– 16GB DDR5 5600Mhz RAM | 
– 15.6″ QHD (2560×1440), 165Hz, IPS-Level Display | 
– 8GB NVIDIA GeForce RTX 5050GB Graphics | 
– 4-Zone RGB Gaming Keyboard with Copilot Key | 
– Genuine Windows 11 Home 64Bit Pre-installed | 
– MSI Essential Backpack | 
 |",https://www.laptop.lk/product/msi-katana-15-b14wek-intel-i7/,https://www.laptop.lk/wp-content/uploads/2025/06/MSI-Katana-15-B14WEK-Intel-i9-300x300.jpg
MSI Cyborg 15 B2RWEKG Gaming – Core 7,529000.0,"| – Intel Core 7 240H processor | 
– 1TB PCI Gen4 NVMe SSD | 
– 16GB DDR5 4800MHZ RAM | 
– 15.6″ FHD 144Hz, IPS-level Display | 
– 8GB NVIDIA GeForce RTX 5050 GDDR7 440 AI TOPS GPU | 
– 4-Zone RGB Gaming Keyboard with Copilot Key | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/msi-cyborg-15-b2rwekg-gaming-core-7/,https://www.laptop.lk/wp-content/uploads/2025/07/MSI-Cyborg-15-B2RWEKG-Gaming-1-300x300.jpg
Dell Latitude 7430 – i5,520000.0,"| – Intel Core i5-1235U Processor | 
– 8GB DDR4 3200MHz RAM | 
– 512GB NVMe SSD | 
– 14″ FHD  (1920 x 1080) Display | 
– Intel UHD Graphics | 
– Windows 10 Pro | 
 |",https://www.laptop.lk/product/dell-latitude-7430/,https://www.laptop.lk/wp-content/uploads/2023/03/Dell_Latitude_7430_-_i5-300x300.webp
Asus Vivobook S 15 S5507 -Snapdragon X Plus X1P,459500.0,"| – Snapdragon X Plus X1P 42 100 Processor | 
– 1TB M.2 NVMe PCIe 4.0 SSD | 
– 16GB LPDDR5X RAM | 
– 15.6″, 3K (2880 x 1620) OLED Display | 
– Qualcomm Adreno GPU Graphics | 
– Backlit keyboard | 
– Windows 11 Home | 
– Microsoft Office Home | 
– Student 2021 | 
 | 
 |   | 
 |   | 
 |   | 
 |",https://www.laptop.lk/product/asus-vivobook-s-15-s5507-snapdragon-x-plus-x1p/,https://www.laptop.lk/wp-content/uploads/2024/09/Asus-Vivobook-S-15-S5507-Snapdragon-X-Plus-X1P-300x300.jpg
MSI Cyborg Gaming 15 AI A1VEK – Ultra 7,440000.0,"| – Intel Core Ultra 7 155H Processor | 
– 512GB M.2 PCIe NVMe SSD | 
– 16GB DDR5 4800MHZ RAM | 
– 15.6″, FHD (1920×1080), 144Hz IPS Display | 
– 6GB NVIDIA GeForce RTX 4050 Graphics | 
– 4-Zone RGB Gaming Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/msi-cyborg-gaming-15-ai-a1vek-ultra-7/,https://www.laptop.lk/wp-content/uploads/2024/06/MSI-Cyborg-Gaming-15-AI-A1VEK-–-Ultra-7-300x300.webp
Lenovo Yoga 7 2-in-1 14AKP10 – Ryzen AI 7,439000.0,"| – AMD Ryzen AI 7 350 Processor | 
– AMD Ryzen AI, up to 50 TOPS | 
– 1TB M.2 2242 PCIe NVMe SSD | 
– 32GB LPDDR5x-7500 RAM | 
– 14″ WUXGA (1920×1200) OLED 600nits Touch Display | 
– AMD Radeon 860M Graphics | 
– Backlit, English Keyboard | 
– Windows 11 Home | 
– Office Home 2024 | 
 |",https://www.laptop.lk/product/lenovo-yoga-7-2-in-1-14akp10-ryzen-ai-7-2/,https://www.laptop.lk/wp-content/uploads/2025/06/Lenovo-Yoga-7-2-in-1-14AKP10-–-Ryzen-AI-7-300x300.jpg
Lenovo IdeaPad Pro 5 Creator 16AHP9 – Ryzen 7 (16GB),435000.0,"| – AMD AI integrated Ryzen 7 8845HS | 
– 1TB SSD M.2 2242 PCIe NVMe | 
– 16GB LPDDR5x-6400 RAM | 
– 16″ 2K, 120Hz, OLED Display | 
– 6GB NVIDIA GeForce RTX 3050 Graphics | 
– Backlit With English Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/lenovo-ideapad-pro-5-creator-16ahp9-ryzen-7-2/,https://www.laptop.lk/wp-content/uploads/2022/08/Lenovo-IdeaPad-Pro-5-Creator-16AHP9-Ryzen-7-16GB-300x300.jpg
Dell 5525 G15 Gaming – Ryzen 5,425000.0,"| – AMD Ryzen 5 – 6600H Processor | 
– 8GB DDR5 4800MHz RAM | 
– 512GB, M.2, PCIe SSD | 
– GeForce RTX 3050, 4GB Graphics | 
– 15.6″, FHD, 120Hz Refresh Rate Display | 
– Dark Shadow Grey Color | 
– Windows 11 Home | 
– Microsoft Office Home and Student 2021 | 
 |",https://www.laptop.lk/product/dell-5525-g15-gaming-laptop-ryzen-5/,https://www.laptop.lk/wp-content/uploads/2023/04/Dell-5525-G15-Gaming-Ryzen-5-1-300x300.webp
Lenovo LOQ Gaming 15AHP10 – Ryzen 7,395000.0,"| – AMD Ryzen 7 AI 250 Processor | 
– Integrated AMD Ryzen AI | 
– 512GB M.2 2242 PCIe 4.0×4 NVMe SSD | 
– 16GB DDR5-5600 RAM | 
– 15.6″ FHD (1920×1080) IPS 100% sRGB, 144Hz Display | 
– 8GB NVIDIA GeForce RTX 5050 2662MHz, TGP 100W, 440 AI TOPS Graphics | 
– White Backlit English Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/lenovo-loq-gaming-15ahp10-ryzen-7/,https://www.laptop.lk/wp-content/uploads/2025/09/LOQ-15AHP10-300x300.jpg
HP EliteBook 8 G1i 14 – Ultra 7,385000.0,"| – Intel Core Ultra 7 255H Processor | 
– 512GB PCIe NVMe SSD | 
– 16GB DDR5-5600 MT/s RAM | 
– 14″ diagonal, WUXGA (1920 x 1200), IPS Display | 
– Intel Graphics | 
– Backlit keyboard | 
 |",https://www.laptop.lk/product/hp-elitebook-8-g1i-14-ultra-7/,https://www.laptop.lk/wp-content/uploads/2026/01/HP-EliteBook-8-G1i-14-–-Ultra-7-4-1-300x300.jpg
Lenovo Yoga 7 2-in-1 14AKP10 – Ryzen AI 5,373000.0,"| – AMD Ryzen AI 5 340 Processor | 
– AMD Ryzen AI, up to 50 TOPS | 
– 1TB M.2 2242 PCIe NVMe SSD | 
– 16GB LPDDR5-6400 RAM | 
– 14″ WUXGA (1920×1200) OLED 600nits Touch Display | 
– AMD Radeon 840M Graphics | 
– Backlit, English Keyboard | 
– Windows 11 Home | 
– Office Home 2024 | 
 |",https://www.laptop.lk/product/lenovo-yoga-7-2-in-1-14akp10-ryzen-ai-5-2/,https://www.laptop.lk/wp-content/uploads/2025/06/Lenovo-Yoga-7-2-in-1-14AKP10-–-Ryzen-AI-5-1-300x300.jpg
Lenovo LOQ Gaming 15AHP10 –  Ryzen 5,369000.0,"| – AMD Ryzen 5 AI 220 Processor | 
– Integrated AMD Ryzen AI | 
– 512GB M.2 2242 PCIe 4.0×4 NVMe SSD | 
– 16GB DDR5-5600 RAM | 
– 15.6″ FHD (1920×1080) IPS 100% sRGB, 144Hz Display | 
– 8GB NVIDIA GeForce RTX 5050 2662MHz, TGP 100W, | 
440 AI TOPS Graphics | 
– White Backlit English Keyboard | 
– Windows 11 Home | 
 |",https://www.laptop.lk/product/lenovo-loq-gaming-15ahp10-ryzen-5/,https://www.laptop.lk/wp-content/uploads/2025/08/Lenovo-LOQ-Gaming-15AHP10-Ryzen-5-300x300.jpg
HP ProBook 4 G1i 14 – Ultra 7,345000.0,"| – Intel Core Ultra 7 255H Processor | 
– 512GB PCIe NVMe SSD | 
– 16GB DDR5-5600 MT/s RAM | 
– 14″ diagonal, WUXGA (1920 x 1200), IPS Display | 
– Intel Graphics | 
– Backlit keyboard | 
 |",https://www.laptop.lk/product/hp-probook-4-g1i-14-ultra-7/,https://www.laptop.lk/wp-content/uploads/2025/12/HP-ProBook-4-G1i-14-–-Ultra-7-300x300.png
HP EliteBook 6 G1i 14 – Ultra 5,340000.0,"| – Intel Core Ultra 5 235H Processor | 
– 512GB PCIe NVMe SSD | 
– 16GB DDR5-5600 MT/s RAM | 
– 14″ diagonal, WUXGA (1920 x 1200), IPS Display | 
– Intel Graphics | 
– Backlit keyboard | 
 |",https://www.laptop.lk/product/hp-elitebook-6-g1i-14-ultra-5/,https://www.laptop.lk/wp-content/uploads/2026/01/HP-EliteBook-6-G1i-14-–-Ultra-5-2-hy-300x300.jpg
Asus Vivobook S14 S3407QA – Snapdragon,329000.0,"| – Snapdragon X X1 26100 AI Processor | 
– 1TB M.2 NVMe PCIe 4.0 SSD | 
– 16GB LPDDR5X RAM | 
– 14″, 2.5K (2560 x 1600, WQXGA) IPS Display | 
– Qualcomm Adreno GPU | 
– Backlit Chiclet Keyboard | 
– Windows 11 Home | 
 | 
 |",https://www.laptop.lk/product/asus-vivobook-s14-s3407qa-snapdragon/,https://www.laptop.lk/wp-content/uploads/2025/08/Asus-Vivobook-S14-S3407QA-Snapdragon-300x300.jpg
MSI Cyborg 15 A2RUDX Gaming – Core 5,326000.0,"| – Intel Core 5 – 210H Processor | 
– 1TB M.2 NVMe PCIe GEN4 SSD | 
– 16GB DDR5  | 4800MHZ  | RAM | 
– 15.6″, FHD, 144Hz Refresh Rate Display | 
– 6GB NVIDIA GeForce RTX 3050 Graphics | 
– Single Backlit Keyboard | 
 |",https://www.laptop.lk/product/msi-cyborg-15-a2rudx-gaming-core-5-2/,https://www.laptop.lk/wp-content/uploads/2025/07/MSI-Cyborg-15-A2RUDX-Gaming-–-Core-5-300x300.jpg
MSI Thin A15 B7UC 630XLK – Ryzen 7,314500.0,"| – AMD Ryzen 7 7735HS Processor | 
– 512GB PCIe NVMe M.2 SSD | 
– 16GB DDR5-4800 RAM | 
– 15.6″ FHD (1920×1080), 144Hz Display | 
– 4GB NVIDIA GeForce RTX 3050 Graphics | 
– Single Backlit Keyboard | 
 |",https://www.laptop.lk/product/msi-thin-a15-b7uc-630xlk-ryzen-7/,https://www.laptop.lk/wp-content/uploads/2025/10/MSI-Thin-A15-B7UC-631XLK-LAPTOP-2-300x300.jpg
